Country/Region,Infected cases,Deaths,Recovered,Active Cases,Serious cases,Total cases/1M pop.,Deaths/1M pop,Total Tests Conducted,%Test Positive,Tests/1M pop.,Pop. Density (per km2),Avg. Wind  Speed (m/s),Avg. Annual Temp. (C.),Avg. Annual Precipitation (mm/yr.),%Pop. High Income,%Pop.  Upper-middle Income,%Pop. Middle Income,%Pop. Low Income,%Pop. Poor,%Pop. Age <=14,%Pop. Age 15-64,%Pop. Age >=65,Current Lockdown Status (Y/N)
Ukraine,4662,125,246,4291,45,107,3,47096,9.898929845,1077,75,3.78,8.3,565,0,10.28446389,49.23413567,40.48140044,0,15.5,68,16.5,Y
Panama,4210,116,122,3972,96,976,27,18559,22.68441188,4301,58,2.05,25.4,2928,5.405405405,16.21621622,27.02702703,48.64864865,8.108108108,27.4,64.7,7.9 ,Y
Dominican Republic,4126,200,268,3658,146,380,18,13282,31.06459871,1224,225,2.59,24.55,1410,2.97029703,11.88118812,25.74257426,56.43564356,2.97029703,29.3,63.7,7.0 ,Y
Finland,3489,82,1700,1707,73,630,15,52500,6.645714286,9475,18,3.14,1.7,536,55.55555556,40.74074074,3.703703704,0,0,16.4,62.4,21.2,Y
Luxembourg,3480,72,579,2829,29,5559,115,32394,10.74273014,51749,242,3.63,8.65,934,80,20,0,0,0,16.5,69.2,14.3,Y
Colombia,3439,153,634,2652,98,68,3,55573,6.188256887,1092,46,1.51,24.5,3240,3.184713376,10.82802548,20.80679406,54.77707006,10.40339703,23.5,68.9,7.6 ,N
Egypt,2844,205,646,1993,,28,2,25000,11.376,244,103,4.42,22.1,51,0.377833753,3.14861461,21.03274559,75.06297229,0.377833753,33.5,61.4,5.2 ,N
South Africa,2783,50,903,1830,7,47,0.8,100827,2.760173366,1700,49,3.42,17.75,495,4.069767442,9.496124031,13.56589147,52.71317829,20.15503876,29,65.7,5.3 ,Y
Argentina,2758,129,666,1963,126,61,3,28650,9.626527051,634,17,4.45,14.8,591,4.176904177,23.58722359,32.43243243,37.1007371,2.702702703,24.9,63.9,11.2,Y
Thailand,2700,47,1689,964,61,39,0.7,100498,2.686620629,1440,137,2.48,26.3,1622,1.351351351,11.41141141,28.82882883,58.10810811,0.3003003,17.3,71.3,11.4,N
Morocco,2564,135,281,2148,1,69,4,12952,19.79617048,351,83,3.64,17.1,346,0.62305296,4.984423676,19.00311526,73.20872274,2.180685358,27.4,65.8,6.8 ,Y
Algeria,2418,364,846,1208,60,55,8,3359,71.98571003,77,18,4.5,22.5,89,,,,,,29.3,64.5,6.2 ,Y
Moldova,2264,56,276,1932,80,561,14,9848,22.98943948,2441,123,3,9.45,450,0,5.555555556,25,66.66666667,0,15.7,73.4,10.9,N
Greece,2224,108,269,1847,71,213,10,50771,4.380453408,4871,81,3.11,15.4,652,23.42342342,54.95495495,17.11711712,3.603603604,0.900900901,14.2,65.4,20.4,Y
Bangladesh,1838,75,58,1705,1,11,0.5,19193,9.576408065,117,1265,2.67,25,2666,0,0.261608895,1.373446697,59.31981687,39.04512753,28.4,66.5,5.1 ,N
Croatia,1814,36,600,1178,30,442,9,20953,8.657471484,5104,73,3.03,10.9,1113,9.302325581,53.48837209,32.55813953,4.651162791,0,14.7,65.6,19.7,Y
